team_name,championships,goals_scored,goals_against,matches_played,performance,difference_goal
Brazil,5,236.0,108,114,73.16,128.0
Germany,4,232.0,129,112,69.97,103.0
Italy,4,128.0,77,83,62.25,51.0
Argentina,3,151.0,100,88,64.37,51.0
France,2,136.0,85,73,60.27,51.0
Uruguay,2,89.0,76,59,50.85,13.0
England,1,104.0,68,74,52.7,36.0
Spain,1,108.0,75,67,53.73,33.0
Mexico,0,62.0,101,60,35.56,-39.0
Belgium,0,69.0,74,51,49.02,-5.0
Sweden,0,80.0,73,51,47.06,7.0
Switzerland,0,55.0,73,41,39.84,-18.0
Netherlands,0,94.0,52,55,61.73,42.0
South Korea,0,39.0,78,38,28.95,-39.0
United States,0,40.0,66,37,31.53,-26.0
Yugoslavia,0,60.0,46,37,49.55,14.0
Chile,0,39.0,48,33,39.58,-9.0
Poland,0,49.0,50,38,50.0,-1.0
Hungary,0,87.0,57,32,50.0,30.0
Paraguay,0,30.0,38,27,40.74,-8.0
Scotland,0,25.0,41,23,27.54,-16.0
Portugal,0,61.0,41,35,56.19,20.0
Cameroon,0,22.0,47,26,29.49,-25.0
Czechoslovakia,0,44.0,45,30,42.22,-1.0
Romania,0,30.0,32,21,42.86,-2.0
Austria,0,43.0,47,29,45.98,-4.0
Bulgaria,0,22.0,53,26,24.36,-31.0
Soviet Union,0,53.0,34,31,54.84,19.0
Japan,0,25.0,33,25,33.33,-8.0
Nigeria,0,23.0,30,21,33.33,-7.0
Croatia,0,43.0,33,30,61.11,10.0
Denmark,0,31.0,29,23,46.38,2.0
Costa Rica,0,22.0,39,21,38.1,-17.0
Iran,0,13.0,31,18,24.07,-18.0
Tunisia,0,14.0,26,18,25.93,-12.0
Saudi Arabia,0,14.0,44,19,24.56,-30.0
Colombia,0,32.0,30,22,43.94,2.0
Morocco,0,20.0,27,23,34.78,-7.0
Australia,0,17.0,35,20,28.07,-18.0
Peru,0,21.0,33,18,33.33,-12.0
Ecuador,0,14.0,14,13,43.59,0.0
Algeria,0,13.0,19,13,30.77,-6.0
Russia,0,24.0,20,14,40.48,4.0
Ghana,0,18.0,23,15,37.78,-5.0
Egypt,0,5.0,12,7,9.52,-7.0
South Africa,0,11.0,16,9,37.04,-5.0
Honduras,0,3.0,14,9,11.11,-11.0
Greece,0,5.0,20,10,23.33,-15.0
Republic of Ireland,0,10.0,10,13,38.46,0.0
Northern Ireland,0,13.0,23,13,35.9,-10.0
Norway,0,7.0,8,8,37.5,-1.0
Bolivia,0,1.0,20,6,5.56,-19.0
Serbia,0,9.0,15,9,25.93,-6.0
Senegal,0,16.0,17,12,50.0,-1.0
Ivory Coast,0,13.0,14,9,37.04,-1.0
Turkey,0,20.0,17,10,53.33,3.0
North Korea,0,6.0,21,7,19.05,-15.0
New Zealand,0,4.0,14,6,16.67,-10.0
El Salvador,0,1.0,22,6,0.0,-21.0
Wales,0,5.0,10,8,29.17,-5.0
Canada,0,2.0,12,6,0.0,-10.0
Slovenia,0,5.0,10,6,22.22,-5.0
Togo,0,1.0,6,3,0.0,-5.0
Trinidad and Tobago,0,0.0,4,3,11.11,-4.0
Ukraine,0,5.0,7,5,60.0,-2.0
United Arab Emirates,0,2.0,11,3,0.0,-9.0
Kuwait,0,2.0,6,3,11.11,-4.0
Slovakia,0,5.0,7,4,33.33,-2.0
Serbia and Montenegro,0,2.0,10,3,0.0,-8.0
Qatar,0,1.0,7,3,0.0,-6.0
Panama,0,2.0,11,3,0.0,-9.0
Angola,0,1.0,2,3,22.22,-1.0
Jamaica,0,3.0,9,3,33.33,-6.0
Israel,0,1.0,3,3,22.22,-2.0
Iraq,0,1.0,4,3,0.0,-3.0
Iceland,0,2.0,5,3,11.11,-3.0
Haiti,0,2.0,14,3,0.0,-12.0
Dutch East Indies,0,0.0,6,1,0.0,-6.0
Czech Republic,0,3.0,4,3,33.33,-1.0
Cuba,0,5.0,12,3,44.44,-7.0
China,0,0.0,9,3,0.0,-9.0
Bosnia and Herzegovina,0,4.0,4,3,33.33,0.0
Zaire,0,0.0,14,3,0.0,-14.0
